could not get driver version for /dev/input/mouse0, Not a typewriter
add device 1: /dev/input/event0
  name:     "qwerty2"
could not get driver version for /dev/input/mice, Not a typewriter
[    4339.933065] /dev/input/event0: 0003 0000 000001cd
[    4339.933083] /dev/input/event0: 0000 0000 00000000
[    4339.948967] /dev/input/event0: 0003 0000 000001d1
[    4339.949007] /dev/input/event0: 0000 0000 00000000
[    4339.949042] /dev/input/event0: 0003 0000 000001d5
[    4339.949061] /dev/input/event0: 0000 0000 00000000
[    4339.964887] /dev/input/event0: 0003 0000 000001db
[    4339.964936] /dev/input/event0: 0000 0000 00000000
[    4339.964970] /dev/input/event0: 0003 0000 000001de
[    4339.964988] /dev/input/event0: 0000 0000 00000000
[    4339.980993] /dev/input/event0: 0003 0000 000001e0
[    4339.981031] /dev/input/event0: 0000 0000 00000000
[    4339.981066] /dev/input/event0: 0003 0000 000001e4
[    4339.981084] /dev/input/event0: 0000 0000 00000000
[    4339.996856] /dev/input/event0: 0003 0000 000001e8
[    4339.996898] /dev/input/event0: 0003 0001 0000008c
[    4339.996933] /dev/input/event0: 0000 0000 00000000
[    4339.996968] /dev/input/event0: 0003 0000 000001ec
[    4339.996986] /dev/input/event0: 0000 0000 00000000
[    4340.012828] /dev/input/event0: 0003 0000 000001f2
[    4340.012870] /dev/input/event0: 0000 0000 00000000
[    4340.012904] /dev/input/event0: 0003 0000 000001f5
[    4340.012922] /dev/input/event0: 0000 0000 00000000
[    4340.028845] /dev/input/event0: 0003 0000 000001fb
[    4340.028867] /dev/input/event0: 0003 0001 0000008a
[    4340.028889] /dev/input/event0: 0000 0000 00000000
[    4340.028923] /dev/input/event0: 0003 0000 000001ff
[    4340.028941] /dev/input/event0: 0000 0000 00000000
[    4340.044898] /dev/input/event0: 0003 0000 00000205
[    4340.044949] /dev/input/event0: 0000 0000 00000000
[    4340.044991] /dev/input/event0: 0003 0000 00000209
[    4340.045010] /dev/input/event0: 0000 0000 00000000
[    4340.060903] /dev/input/event0: 0003 0000 0000020e
[    4340.060927] /dev/input/event0: 0003 0001 00000088
[    4340.060948] /dev/input/event0: 0000 0000 00000000
[    4340.060978] /dev/input/event0: 0003 0000 00000212
